,Title,Author,Price,Image,Link
107,Aku Bisa Memilih Jajan Sehat, Efitri Widyatuti ,Rp 119.000,https://cdn.gramedia.com/uploads/items/Aku_Bisa_Memilih_Jajan_Sehat__w149_hauto.jpg,https://www.gramedia.com/products/aku-bisa-memilih-jajan-sehat
108,Jurnal Anak Islam Pandai Bersyukur, WITA MAULIDA ,Rp 89.000,/assets/default-images/product.png,https://www.gramedia.com/products/jurnal-anak-islam-pandai-bersyukur
109,Ibuku Dan Alat Ajaibnya, SOFFA M MINNA ,Rp 119.000,/assets/default-images/product.png,https://www.gramedia.com/products/ibuku-dan-alat-ajaibnya
110,Al-Qur'an Qosbah Al-Muttaqin A4,,Rp 99.900,https://cdn.gramedia.com/uploads/items/img20220605_15481140__w149_hauto.jpg,https://www.gramedia.com/products/al-quran-qosbah-al-muttaqin-a4
111,Al-Qur'an Kisah Qosbah A4,,Rp 199.000,https://cdn.gramedia.com/uploads/items/img20220605_15490084__w149_hauto.jpg,https://www.gramedia.com/products/al-quran-kisah-qosbah-a4
112,Muhammad (Kedatangan), Zhaenal Fanani - Regu Kancil Studio ,Rp 115.000,https://cdn.gramedia.com/uploads/items/bc616aee-a461-49d5-8a43-b1a379a205bd__w149_hauto.jpg,https://www.gramedia.com/products/muhammad-kedatangan
113,Ibrahim (Bapak Para Nabi Dan Kekasih Allah), Prof. Dr. Ali Muhammad Ash-Shalabi ,Rp 240.000,https://cdn.gramedia.com/uploads/items/8d81e29d-b396-4ba2-9789-301b980e967e__w149_hauto.jpg,https://www.gramedia.com/products/ibrahim-bapak-para-nabi-dan-kekasih-allah
114,Atlas Super Global Indonesia Dan Dunia Besar,,Rp 58.000,https://cdn.gramedia.com/uploads/items/img20220605_11432098__w149_hauto.jpg,https://www.gramedia.com/products/atlas-super-global-indonesia-dan-dunia-besar
115,"Meniti Arti, Bertukar Makna Bersama `Saksi & Rekan Sezaman`"," Eveline Buchheim, Dkk ",Rp 160.000,/assets/default-images/product.png,https://www.gramedia.com/products/meniti-arti-bertukar-makna-bersama-saksi-rekan-sezaman
116,Cara Cepat Menulis Tesis Dan Disertasi Yang Menarik," Nyarwi Ahmad, PhD ",Rp 185.000,/assets/default-images/product.png,https://www.gramedia.com/products/cara-cepat-menulis-tesis-dan-disertasi-yang-menarik
